name,freereturns,itemssold,status,price,shipping
NEW RARE Doritos Tangy Pickle Tortilla Chips 9.25 oz 12/28/21 Best By Date,False,0,Brand New,1688,0
Reduced Fat Doritos 3 Flavor Variety Pack | 18 Count,False,,Brand New,2599,0
NEW Doritos 3D CRUNCH Spicy Ranch Flavored Chip Snacks 6 oz FREE SHIPPING,False,,Brand New,1199,
NEW Doritos Incognita Chili & Lime Flavored Chip Snacks 8.64 oz FREE SHIPPING,False,,Brand New,1199,
Rare Huge Nacho Cheese Dorito Seasoning Chunk Half Moon Costco Bag Nugget Clump,False,,Brand New,79900,1000
NEW Doritos Pizzerola Pizza Flavored Chip Snacks 8.64 oz FREE WORLDWIDE SHIPPING,False,,Brand New,1199,
NEW Doritos Diablo Spicy Flavored Chip Snacks 5.15 oz FREE WORLDWIDE SHIPPING,False,,Brand New,1199,
Doritos and Cheetos Mix Snacks Variety Pack ( 30 pk.) Great Value!! ,False,0,Brand New,1699,599
Doritos Twisted Lime Flavored Tortilla Chips Limited Edition 1 pound 2 7/8 oz,False,,Brand New,1499,1000
12 x Bags Doritos Late Night Fully loaded Nachos Chips 235g each from Canada,False,,Brand New,7400,0
"Doritos Flavored Tortilla Chips Variety Pack, 40 Count 40 ",True,,Brand New,2609,0
Doritos nacho cheese 9 3/4oz Bag,False,,Brand New,1199,0
Lay's Doritos Cool Ranch Flavored Chips 15.25oz Bag Limited Time Flavor HUGE BAG,False,,Brand New,2000,1154
NEW Doritos Flamas Spicy Flavored Chip Snacks 9.75 oz FREE WORLD SHIPPING,False,,Brand New,1199,
New ListingRare Exotic Limited Edition Bacon Cheese Burger Doritos ,False,,Brand New,2499,0
NEW Doritos Tapatio Hot Sauce Nacho Corn Chip Snacks 9.75 oz FREE WORLD SHIPPING,False,,Brand New,1199,
"Lay’s Funyuns, Doritos, Cheetos Flavor Swap Chips Set Of 3 Bags NEW",False,,Brand New,4999,1299
NEW RARE Doritos XXTRA Flamin Hot Tortilla Chips 9.25 oz Expires 12/28/21,False,,Brand New,1699,0
